equipment_id,name,equipment_category,source_ids
AIR_BIKE_FAN_BIKE,Air Bike / Fan Bike,,SRC_ACE_LIBRARY;SRC_CURATED_V1
ROWING_ERGOMETER,Rowing Ergometer,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SKI_ERGOMETER,Ski Ergometer,,SRC_ACE_LIBRARY;SRC_CURATED_V1
ELLIPTICAL,Elliptical,,SRC_ACE_LIBRARY;SRC_CURATED_V1
STAIR_CLIMBER,Stair Climber,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SWIMMING_POOL,Swimming Pool,,SRC_ACE_LIBRARY;SRC_CURATED_V1
TRACK_FIELD,Track / Field,,SRC_ACE_LIBRARY;SRC_CURATED_V1
AGILITY_LADDER,Agility Ladder,,SRC_ACE_LIBRARY;SRC_CURATED_V1
CONES,Cones,,SRC_ACE_LIBRARY;SRC_CURATED_V1
HURDLES,Hurdles,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SANDBAG,Sandbag,,SRC_ACE_LIBRARY;SRC_CURATED_V1
FARMER_CARRY_HANDLES,Farmer Carry Handles,,SRC_ACE_LIBRARY;SRC_CURATED_V1
WEIGHTED_VEST,Weighted Vest,,SRC_ACE_LIBRARY;SRC_CURATED_V1
ANKLE_WEIGHTS,Ankle Weights,,SRC_ACE_LIBRARY;SRC_CURATED_V1
WRIST_ROLLER,Wrist Roller,,SRC_ACE_LIBRARY;SRC_CURATED_V1
GHD,GHD,,SRC_ACE_LIBRARY;SRC_CURATED_V1
REVERSE_HYPER_MACHINE,Reverse Hyper Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
HACK_SQUAT_MACHINE,Hack Squat Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
LEG_PRESS,Leg Press,,SRC_ACE_LIBRARY;SRC_CURATED_V1
LEG_EXTENSION_MACHINE,Leg Extension Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
LEG_CURL_MACHINE,Leg Curl Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
CALF_RAISE_MACHINE,Calf Raise Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
HIP_THRUST_MACHINE,Hip Thrust Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
PEC_DECK,Pec Deck,,SRC_ACE_LIBRARY;SRC_CURATED_V1
CHEST_PRESS_MACHINE,Chest Press Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SHOULDER_PRESS_MACHINE,Shoulder Press Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
LAT_PULLDOWN_MACHINE,Lat Pulldown Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SEATED_ROW_MACHINE,Seated Row Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
