training_method_id,method_group,name,advanced_method,ai_selectable,definition,source_ids
PYRAMID_LOADING,LOADING,Pyramid Loading,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
REVERSE_PYRAMID_LOADING,LOADING,Reverse Pyramid Loading,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
WAVE_LOADING,LOADING,Wave Loading,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
STEP_LOADING,LOADING,Step Loading,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
RAMP_UP_LOADING,LOADING,Ramp-Up Loading,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
TOP_SET_BACK_OFF,LOADING,Top Set + Back-Off,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
PERCENTAGE_BASED_LOADING,LOADING,Percentage-Based Loading,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
RPE_BASED_LOADING,LOADING,RPE-Based Loading,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
RIR_BASED_LOADING,LOADING,RIR-Based Loading,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
VELOCITY_BASED_LOADING,LOADING,Velocity-Based Loading,1,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
AUTOREGULATED_LOADING,LOADING,Autoregulated Loading,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
CONTINUOUS_TRAINING,CONDITIONING,Continuous Training,0,1,,SRC_CURATED_V1
INTERVAL_TRAINING,CONDITIONING,Interval Training,0,1,,SRC_CURATED_V1
HIGH_INTENSITY_INTERVAL_TRAINING,CONDITIONING,High-Intensity Interval Training,0,1,,SRC_CURATED_V1
SPRINT_INTERVAL_TRAINING,CONDITIONING,Sprint Interval Training,0,1,,SRC_CURATED_V1
AEROBIC_INTERVALS,CONDITIONING,Aerobic Intervals,0,1,,SRC_CURATED_V1
ANAEROBIC_INTERVALS,CONDITIONING,Anaerobic Intervals,0,1,,SRC_CURATED_V1
TEMPO_INTERVALS,CONDITIONING,Tempo Intervals,0,1,,SRC_CURATED_V1
THRESHOLD_INTERVALS,CONDITIONING,Threshold Intervals,0,1,,SRC_CURATED_V1
FARTLEK,CONDITIONING,Fartlek,0,1,,SRC_CURATED_V1
DENSITY_TRAINING,CONDITIONING,Density Training,0,1,,SRC_CURATED_V1
WORK_REST_INTERVALS,CONDITIONING,Work-Rest Intervals,0,1,,SRC_CURATED_V1
HEART_RATE_ZONE_TRAINING,CONDITIONING,Heart-Rate-Zone Training,0,1,,SRC_CURATED_V1
BALLISTIC_TRAINING,POWER_PLYO,Ballistic Training,0,1,,SRC_CURATED_V1
OLYMPIC_LIFT_DERIVATIVE_TRAINING,POWER_PLYO,Olympic-Lift Derivative Training,0,1,,SRC_CURATED_V1
CONTRAST_TRAINING,POWER_PLYO,Contrast Training,0,1,,SRC_CURATED_V1
COMPLEX_TRAINING,POWER_PLYO,Complex Training,0,1,,SRC_CURATED_V1
JUMP_TRAINING,POWER_PLYO,Jump Training,0,1,,SRC_CURATED_V1
HOP_TRAINING,POWER_PLYO,Hop Training,0,1,,SRC_CURATED_V1
BOUND_TRAINING,POWER_PLYO,Bound Training,0,1,,SRC_CURATED_V1
MEDICINE_BALL_THROW_TRAINING,POWER_PLYO,Medicine-Ball Throw Training,0,1,,SRC_CURATED_V1
REACTIVE_PLYOMETRICS,POWER_PLYO,Reactive Plyometrics,1,1,,SRC_CURATED_V1
STATIC_STRETCHING,MOBILITY_RECOVERY,Static Stretching,0,1,,SRC_CURATED_V1
DYNAMIC_STRETCHING,MOBILITY_RECOVERY,Dynamic Stretching,0,1,,SRC_CURATED_V1
ACTIVE_MOBILITY,MOBILITY_RECOVERY,Active Mobility,0,1,,SRC_CURATED_V1
CONTROLLED_ARTICULAR_ROTATIONS,MOBILITY_RECOVERY,Controlled Articular Rotations,0,1,,SRC_CURATED_V1
PNF_STYLE_STRETCHING,MOBILITY_RECOVERY,PNF-Style Stretching,0,1,,SRC_CURATED_V1
FOAM_ROLLING_SELF_MYOFASCIAL_RELEASE,MOBILITY_RECOVERY,Foam Rolling / Self-Myofascial Release,0,1,,SRC_CURATED_V1
RECOVERY_CARDIO,MOBILITY_RECOVERY,Recovery Cardio,0,1,,SRC_CURATED_V1
BREATHING_DOWN_REGULATION,MOBILITY_RECOVERY,Breathing / Down-Regulation,0,1,,SRC_CURATED_V1
